Country, Latitude, Longitude
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Liechtenstein,47.166,9.555373
Luxembourg,49.815273,6.129583
Madagascar,-18.766947,46.869107
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Maldives,3.202778,73.22068
Mali,17.570692,-3.996166
Malta,35.937496,14.375416
Marshall Islands,7.131474,171.184478
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
Micronesia (FS of),7.4256,150.5508
Monaco,43.750298,7.412841
Mongolia,46.862496,103.846656
Montserrat,16.742498,-62.187366
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Myanmar,21.9162,95.956
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Caledonia,-20.904305,165.618042
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Norway,60.472024,8.468946
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Palau,7.51498,134.58252
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Republic of Korea,35.9078,127.7669
Romania,45.943161,24.96676
Rwanda,-1.940278,29.873888
Saint Kitts and Nevis,17.357822,-62.782998
Saint Lucia,13.909444,-60.978893
Samoa,-13.759029,-172.104629
San Marino,43.94236,12.457777
Sao Tome and Principe,0.1864,6.6131
Saudi Arabia,23.885942,45.079162
Senegal,14.497401,-14.452362
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
South Africa,-30.559482,22.937506
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
St. Vincent and the Grenadines,12.9843,61.2872
State of Palestine,31.9522,35.2332
Suriname,3.919305,-56.027783
Swaziland,-26.522503,31.465866
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Syrian Arab Republic,34.8021,38.9968
Thailand,15.870032,100.992541
Togo,8.619543,0.824782
Tonga,-21.178986,-175.198242
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turks and Caicos Islands,21.694025,-71.797928
Tuvalu,-7.109535,177.64933
U.R. of Tanzania: Mainland,6.369,34.8888
Uganda,1.373333,32.290275
United Arab Emirates,23.424076,53.847818
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Vanuatu,-15.376706,166.959158
Venezuela (Bolivarian Republic of),6.4238,66.5897
Viet Nam,14.0583,108.2772
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
